grd_edit,Warranty_edit,Power_edit,Sl. No.,Make,Model,Variant,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Engine_Location,Fuel_System,Fuel_Tank_Capacity_litre,Fuel_Type,Height_mm,Length_mm,Width_mm,Body_Type,Doors,City_Mileage_km_litre,Highway_Mileage_km_litre,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space_litre,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range,Safety_Count,count_yes
163.0,2,75.0,132,Suzuki,Dzire,Ldi,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37.0,Diesel,1515,3995,1735,Sedan,4.0,28.4,,28.4 km/litre,,955 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,165/80R14,165/80R14,Electric Power,Only Front Windows,,Remote,75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,Manual,2450 mm,165/80R14,,Yes,Not on offer,,Yes,2 years /40000 Kms (years/distance whichever comes first),,Internal,378.0,,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,Yes,Yes,Front Row,1405 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,17.6:1,Rake,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,8,20
163.0,2,84.3,133,Suzuki,Dzire,Zxi,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37.0,Petrol,1515,3995,1735,Sedan,4.0,16.3,,22 km/litre,,882 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,185/65R15,185/65R15,Electric Power,All Windows,,Remote,84.3PS@6000rpm,115Nm@4000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2450 mm,185/65R15,Yes,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,378.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1315 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,11.0:1,Rake,,Rear sensors,Yes,Yes,,,,,Yes,Yes,Yes,Manual Adjustment,,,,Yes,,,,,,,Yes,,,,,,,,,,,,8,27
163.0,2,75.0,134,Suzuki,Dzire,Vdi,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37.0,Diesel,1515,3995,1735,Sedan,4.0,28.4,,28.4 km/litre,,967 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,165/80R14,165/80R14,Electric Power,All Windows,,Remote,75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2450 mm,165/80R14,,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),,Internal,378.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1405 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,17.6:1,Rake,,,Yes,Yes,,,,,,Yes,Yes,,,Yes,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,8,26
163.0,2,84.3,135,Suzuki,Dzire,Vxi Amt,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37.0,Petrol,1515,3995,1735,Sedan,4.0,16.3,,22 km/litre,,872 kg,4,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,165/80R14,165/80R14,Electric Power,All Windows,,Remote,84.3PS@6000rpm,115Nm@4000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Automatic,2450 mm,165/80R14,,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),,Internal,378.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1315 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,11.0:1,Rake,,,Yes,Yes,,,,,,Yes,Yes,,,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,8,25
163.0,2,75.0,136,Suzuki,Dzire,Zdi Amt,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37.0,Diesel,1515,3995,1735,Sedan,4.0,28.4,,28.4 km/litre,,978 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,185/65R15,185/65R15,Electric Power,All Windows,,Remote,75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Automatic,2450 mm,185/65R15,Yes,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,378.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1405 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,17.6:1,Rake,,Rear sensors,Yes,Yes,,,,,Yes,Yes,Yes,Manual Adjustment,,,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,8,28
163.0,2,75.0,137,Suzuki,Dzire,Zdi,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37.0,Diesel,1515,3995,1735,Sedan,4.0,28.4,,28.4 km/litre,,978 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,185/65R15,185/65R15,Electric Power,All Windows,,Remote,75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2450 mm,185/65R15,Yes,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,378.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1405 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,17.6:1,Rake,,Rear sensors,Yes,Yes,,,,,Yes,Yes,,Manual Adjustment,,,,Yes,,,,,,Yes,,,,,,,,,,,,,7,26
163.0,2,84.3,138,Suzuki,Dzire,Zxi Plus,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37.0,Petrol,1515,3995,1735,Sedan,4.0,16.3,,22 km/litre,,895 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,185/65R15,185/65R15,Electric Power,All Windows,,Remote,84.3PS@6000rpm,115Nm@4000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2450 mm,185/65R15,Yes,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,378.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1315 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,11.0:1,Rake,,Rear sensors,Yes,Yes,,,,,Yes,Yes,Yes,Manual Adjustment,,,,Yes,,,,,,,Yes,,,,,,,,,,,,8,27
163.0,2,84.3,139,Suzuki,Dzire,Zxi At,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37.0,Petrol,1515,3995,1735,Sedan,4.0,16.3,,22 km/litre,,882 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,185/65R15,185/65R15,Electric Power,All Windows,,Remote,84.3PS@6000rpm,115Nm@4000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Automatic,2450 mm,185/65R15,Yes,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,378.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1315 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,11.0:1,Rake,,Rear sensors,Yes,Yes,,,,,Yes,Yes,Yes,Manual Adjustment,,,,Yes,,,,,,,Yes,,,,,,,,,,,,8,27
163.0,2,84.3,140,Suzuki,Dzire,Zxi Plus Amt,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37.0,Petrol,1515,3995,1735,Sedan,4.0,16.3,,22 km/litre,,990 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,185/65R15,185/65R15,Electric Power,All Windows,,Remote,84.3PS@6000rpm,115Nm@4000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Automatic,2450 mm,185/65R15,Yes,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,378.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1315 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,11.0:1,Rake,,Rear sensors,Yes,Yes,,,,,Yes,Yes,,Manual Adjustment,,,,Yes,,,,,,,,,,,,,,,,,,,7,25
163.0,2,75.0,141,Suzuki,Dzire,Zdi Plus,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37.0,Diesel,1515,3995,1735,Sedan,4.0,28.4,,28.4 km/litre,,895 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,185/65R15,185/65R15,Electric Power,All Windows,,Remote,75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2450 mm,185/65R15,Yes,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,378.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1405 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,17.6:1,Rake,,Rear sensors with camera,Yes,Yes,,,,,Yes,Yes,Yes,Manual Adjustment,,,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,8,28
163.0,2,75.0,142,Suzuki,Dzire,Vdi Amt,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37.0,Diesel,1515,3995,1735,Sedan,4.0,28.4,,28.4 km/litre,,967 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,165/80R14,165/80R14,Electric Power,All Windows,,Remote,75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Automatic,2450 mm,165/80R14,,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),,Internal,378.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1405 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,17.6:1,Rake,,,Yes,Yes,,,,,,Yes,Yes,,,Yes,,Yes,,,,,,Yes,,,,,,,,,,,,,8,25
163.0,2,75.0,143,Suzuki,Dzire,Zdi Plus Amt,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37.0,Diesel,1515,3995,1735,Sedan,4.0,28.4,,28.4 km/litre,,990 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,185/65R15,185/65R15,Electric Power,All Windows,,Remote,75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Automatic,2450 mm,185/65R15,Yes,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,378.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1405 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,17.6:1,Rake,,Rear sensors with camera,Yes,Yes,,,,,Yes,Yes,Yes,Manual Adjustment,,,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,8,28
190.0,2,100.0,144,Ford,Freestyle,1.5L Tdci Ambiente,1498.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,40.0,Diesel,1570,3954,1737,Crossover,5.0,,,24.4 km/litre,,1062 kg,5,190 mm,Ventilated Disc,Drum,Independent McPherson,Semi-Independent; Twist beam with dual path strut,,,185/60R15,185/60R15,Electric Power,Only Front Windows,,Yes,100PS@3750RPM,215Nm@1750-3000RPM,Digital,Analog,Not on offer,Yes,5.0,Fabric,Manual,2490 mm,185/60R15,,Yes,Not on offer,,,"2 Years / 100,000 Kms (whichever comes first)",,Internal,257.0,,,Yes,Digital,Front,Yes,Front,Yes,,,Internal,Analog,Manual,Analog + Digital,Yes,5.0,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,16:01,Rake,,Rear sensors,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,16
190.0,2,100.0,145,Ford,Freestyle,1.5L Tdci Titanium,1498.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,40.0,Diesel,1570,3954,1737,Hatchback,5.0,,,24.4 km/litre,,1074 kg,5,190 mm,Ventilated Disc,Drum,Independent McPherson strut with Coil spring & Anti-roll bar,Semi-independent twist beam with twin gas and oil filled shock absorbers,,,175/65R14,175/65R14,Electric Power,All Windows,,Remote,100PS@3750RPM,215Nm@1750-3000RPM,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2490 mm,175/65R14,Yes,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,Internal,257.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.0,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,16.1,Rake,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,,Manual Adjustment,,,,,,Yes,,,,,,,,,,,Yes,,,,,,8,26
190.0,2,100.0,146,Ford,Freestyle,1.5L Tdci Titanium Plus,1498.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,40.0,Diesel,1570,3954,1737,Hatchback,5.0,,,24.4 km/litre,,1080 kg,5,190 mm,Ventilated Disc,Drum,Independent MCPherson Strut with coil springs & anti-roll bar,"Semi Independent, Twist Beam with coil Spring and Shock Absorber",,,175/65R14,175/65R14,Electric Power,All Windows,,Yes,100PS@3750RPM,215Nm@1750-3000RPM,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2490 mm,175/65R14,Yes,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",257.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.0,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Curtain airbags",Yes,Yes,Yes,,6.0,16:01,Rake,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,,Manual Adjustment,,,,,,Yes,,,,,,Yes,,,Yes,,Yes,,,,,,9,29
190.0,2,96.0,147,Ford,Freestyle,1.2L Ti-Vct Ambiente,1194.0,3.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,42.0,Petrol,1570,3954,1737,Hatchback,5.0,,,19 km/litre,,1026 kg,5,190 mm,Ventilated Disc,Drum,Independent McPherson,Semi-Independent; Twist beam with dual path strut,,,185/60R15,185/60R15,Electric Power,Only Front Windows,,,96PS@6500rpm,120Nm@4250rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,Manual,2490 mm,185/60R15,,Yes,,,,"2 Years / 100,000 Kms (whichever comes first)",,Internal,257.0,,,Yes,Digital,Front,Yes,Front,Yes,,,Internal,Analog,Manual,Analog + Digital,Yes,5.0,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,,,,2.0,11.2:1,Rake,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11
190.0,2,96.0,148,Ford,Freestyle,1.2L Ti-Vct Titanium,1194.0,3.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,42.0,Petrol,1570,3954,1737,Hatchback,5.0,,,19 km/litre,,1038 kg,5,190 mm,Ventilated Disc,Drum,Independent McPherson,Semi-Independent; Twist beam with dual path strut,,,185/60R15,185/60R15,Electric Power,All Windows,,Remote,96PS@6500rpm,120Nm@4250rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2490 mm,185/60R15,Yes,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,Internal,257.0,,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.0,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Front passenger frontal airbag, Driver frontal airbag",Yes,Yes,Yes,,2.0,11.2:1,Rake,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,,Manual Adjustment,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,,8,26
190.0,2,96.0,149,Ford,Freestyle,1.2L Ti-Vct Titanium Plus,1194.0,3.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,42.0,Petrol,1570,3954,1737,Hatchback,5.0,,,19 km/litre,,1044 kg,5,190 mm,Ventilated Disc,Drum,Independent McPherson,Semi-Independent; Twist beam with dual path strut,,,185/60R15,185/60R15,Electric Power,All Windows,,Yes,96PS@6500rpm,120Nm@4250rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2490 mm,185/60R15,Yes,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"Internal, With Remote",257.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.0,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Curtain airbags",Yes,Yes,Yes,,6.0,11.2:1,Rake,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,,Manual Adjustment,,,,,,Yes,,,,,,Yes,,,Yes,,Yes,,,,,,9,29
190.0,2,96.0,150,Ford,Freestyle,1.2L Ti-Vct Trend Plus,1194.0,3.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,42.0,Petrol,1570,3954,1737,Crossover,5.0,,,19 km/litre,,1032 kg,5,190 mm,Ventilated Disc,Drum,Independent McPherson,Semi-Independent; Twist beam with dual path strut,,,185/60R15,185/60R15,Electric Power,All Windows,,Remote,96PS@6500rpm,120Nm@4250rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2490 mm,185/60R15,,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"Internal, With Remote",257.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.0,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,11.2:1,Rake,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,,,Yes,,,,,,,,,,,,,,,,,,,,,,8,24
190.0,2,100.0,151,Ford,Freestyle,1.5L Tdci Trend Plus,1498.0,3.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,42.0,Diesel,1570,3954,1737,Crossover,5.0,,,24.4 km/litre,,1068 kg,5,190 mm,Ventilated Disc,Drum,Independent McPherson,Semi-Independent; Twist beam with dual path strut,,,175/65R14,175/65R14,Electric Power,All Windows,,Remote,100PS@3750RPM,215Nm@1750-3000RPM,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2490 mm,175/65R14,,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",257.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.0,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,16:01,Rake,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,,,Yes,,,,,,,,,,,,,,,,,,,,,,8,24
165.0,0,110.0,152,Volkswagen,Ameo,Trendline 1.5L Tdi,1498.0,,4.0,FWD (Front Wheel Drive),In-line,"Front, Longitudinal",Injection,45.0,Diesel,1483,3995,1682,Sedan,4.0,15.3,21.66,21.66 km/litre,,1044 kg,,165 mm,Ventilated Disc,Drum,MacPherson Strut,Semi Independent Trailing Arm,1460 mm,1456 mm,185/60 R15,185/60 R15,Electric Power,Only Front Windows,,,110PS@4400rpm,250Nm@1500-2500rpm,Digital,Analog,Analog,,5.0,Fabric,Manual,2470 mm,R15,,Yes,Not on offer,Yes,Yes,,,Manual,330.0,,Yes,Yes,Digital,Yes,,Front,,,Yes,Push to Open,Analog,Manual,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,,,,,,,,Yes,,,,,,,Yes,Yes,All Rows,1500 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,,2.0,16.5:1,"Rake, Reach",,Rear sensors,,Yes,,,Yes,,,Yes,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,6,19
